0,are you crazy take the boat
0,whoohoo
0,whoohoohoo whoohoohoo
0,if youre right lewis this mason is one hell of a pro he must have a service record and a paper trail some
0,yes sir
0,no sir
0,any of them richard long
0,they were all wearing hardware
0,alert seventyfifth rangers code blue tell them elvis has left the building
0,looks like it yes sir
0,is it
0,colonel vitelli we got a bustedin cold vault inside
0,forget about him
0,why is it you scientists can create implements of destruction
0,so far yeyes
0,and let me guess you failed
0,i began trying to find ways of controlling the effects of the weapon that we tested on horn island
0,all right after they put you away
0,almost quaint
0,went away i like that
0,went away
0,men every time ive closed my eyes but after you went away i
0,do you think i havent seen the bodies of those
0,always done richard
0,what rational man could fit in with the sorts of things our government was doing the sorts of things youve
0,years of thinking the matter over i began to see that the whole thing wasnt really my problem
0,you were right of course but after
0,do you remember telling me once that all through my career id never fit in well
0,together you gave me the opportunity to realize just how very wrong my life had gone
0,mmhm
0,grateful
0,and the government
0,oh im well aware of what the government did i assure you actually ive just come to say how grateful i am to you
0,that
0,i know where the blame belongs but i didnt put you in prison andrew the government did
0,me well you couldve saved yourself the trip
0,is that why youre here to blame
0,ple
0,not at all like a man responsible for the deaths of eighteen peo
0,you look fithealthy
0,you look good richard
0,no go
0,is this stool taken
0,theres nothing to say doctor someone had to take the fall and they still need you whereasive never been anything more than a thorn in their collective side as you once said
0,about
0,i wish they wouldve let me say something
0,andrew
0,its too
0,damn you long my people are out there your people are out there
0,youll kill us all
0,no
0,no
0,destroyer of worlds
0,i am become death the
0,lets proceed
0,all right one more shot provided were off the island tonight
0,you have my word on that
0,me if i thought there was any real danger ii wouldnt go forward
0,now i know you have moral objections to what were doing here but believe
0,now listen to me
0,but you have no choice but to follow orders
0,the united states into the kind of country were supposed to be fighting against
0,sittin here with our hands in the goddamn cookie jar and let me tell you something else i didnt join the service to let people like you turn
0,here and the white house is screaming about chemical weapons and were
0,the nsa thinks the un is onto your work
0,if it works your stock at the pentagon will go up along with mine i dont think i need to mention you could use the help
0,look this is a scientific experiment okay
0,bility
0,this isnt some kind of pissing contest long you may be in charge here but those men out there are my responsi
0,lar
